,vix,spx
1990-11-15,22.57,1598.0
1990-11-16,21.34,1612.0
1990-11-19,20.95,1633.0
1990-11-20,20.09,1633.0
1990-11-21,21.09,1627.0
1990-11-23,20.98,1640.0
1990-11-26,22.76,1607.0
1990-11-27,22.86,1606.0
1990-11-28,22.96,1601.0
1990-11-29,23.91,1607.0
1990-11-30,22.16,1605.0
1990-12-03,22.29,1645.0
1990-12-04,22.03,1646.0
1990-12-05,20.94,1660.0
1990-12-06,22.62,1693.0
1990-12-07,22.59,1691.0
1990-12-10,23.58,1675.0
1990-12-11,23.75,1665.0
1990-12-12,21.28,1668.0
1990-12-13,23.05,1659.0
1990-12-14,23.85,1635.0
1990-12-17,24.85,1606.0
1990-12-18,23.11,1591.0
1990-12-19,23.08,1589.0
1990-12-20,23.13,1553.0
1990-12-21,22.66,1564.0
1990-12-26,24.18,1537.0
1990-12-27,24.81,1529.0
1990-12-28,25.05,1509.0
1991-01-02,26.62,1505.0
1991-01-03,27.93,1539.0
1991-01-04,27.19,1547.0
1991-01-07,28.95,1508.0
1991-01-08,30.38,1503.0
1991-01-09,33.3,1552.0
1991-01-10,31.33,1507.0
1991-01-11,32.63,1495.0
1991-01-14,36.2,1441.0
1991-01-15,36.16,1457.0
1991-01-16,33.2,1457.0
1991-01-17,27.45,1560.0
1991-01-18,25.39,1560.0
1991-01-21,24.33,1553.0
1991-01-22,24.9,1548.0
1991-01-23,23.92,1522.0
1991-01-24,22.86,1553.0
1991-01-25,22.2,1563.0
1991-01-28,23.05,1565.0
1991-01-29,23.17,1554.0
1991-01-30,21.37,1582.0
1991-01-31,20.91,1580.0
1991-02-01,21.04,1578.0
1991-02-04,21.86,1581.0
1991-02-05,21.46,1606.0
1991-02-06,22.68,1598.0
1991-02-07,23.6,1598.0
1991-02-08,23.38,1622.0
1991-02-11,22.56,1637.0
1991-02-12,22.26,1626.0
1991-02-13,20.86,1636.0
1991-02-14,21.48,1652.0
1991-02-15,19.57,1670.0
1991-02-19,19.84,1701.0
1991-02-20,22.26,1693.0
1991-02-21,20.78,1710.0
1991-02-22,21.01,1717.0
1991-02-25,22.86,1745.0
1991-02-26,20.38,1712.0
1991-02-27,21.26,1731.0
1991-02-28,21.23,1760.0
1991-03-04,20.86,1766.0
